Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
KISS 98.3,73,292,"Winchester, VA",Online
Kitsap Sun,18872.75,75491,"New York, NY",Online
KITV,39650.75,158603,"Honolulu, HI",Online
KIVI-TV Online,9154,36616,"Nampa, ID",Online
KIX 92.1,1000,4000,Local,Online
KIX 92.7,1000,4000,Greenwood,Online
KJTV-TV,4000,4000,"Luddock, TX",TV
KLIK,1000,4000,"Jefferson City, MO",Online
KLJB-DAV (FOX),1674,1674,"Davenport, IA",TV
KLKN (ABC),3141,3141,"Lincoln, NE",TV
KLRT (FOX),9680,9680,"Little Rock, AR",TV
KLSR (FOX),6873,6873,"Eugene, OR",TV
KMAJ,1000,4000,"Kansas City, MO",Online
KMBC-KC (ABC),14276,14276,"Kansas City, MO",TV
KMIZ,28636,114544,"Columbia, MO",Online
KMOV Online,265662.5,1062650,"St. Louis, MO",Online
KMOV-STL (CBS),42749,42749,"St. Louis, MO",TV
KMSB (FOX),4473,4473,"Tucson, AZ",TV
KMSP-TV,59902,59902,"Minneapolis, MN",TV
KMTV Online,10088.75,40355,"Omaha, NE",Online
KNEB,6904,27616,"Scottsbluff, NE",Online
KNID 107.1,1000,4000,"knid, ohio",Online
KNIN (FOX),1017,1017,"Boise, ID",TV
KNOE (CBS),6082,24082,"Monroe, LA",TV
KOKH-OKC (FOX),18425,18425,"Oklahoma City, OK",TV
KOLN (CBS),4000,4000,"Lincoln, NE",TV
KOTA (ABC),4322,4322,"Rapid City, SD",TV
KPHO-PHX (CBS),60723,60723,"Phoenix, AZ",TV
KPLX-FM Online,1078.25,4313,"Dallas, TX",Online
KPRC-HOU (NBC),128325,128325,"Houston, TX",TV
KPVI (NBC),4148,4148,"Idaho Falls, ID",TV
KQCL Online,1000,4000,"Faribault, MN",Online
KQFX ABC ,1000,4000,"Columbia, SC",Online
KRDO,54245.25,216981,"Colorado Springs, CO",Online
KREM-TV,21803,21803,"Spokane, WA",TV
KRFO Radio Online,1000,4000,"Owatonna, MN",Online
KRIV-TV,48240,48240,"Houston, TX",TV
KRON-TV,26358,26358,"San Fran, CA",TV
KRVN,2998,11992,"Lexington, NE",Online
KSAT-SAT (ABC),74114,74114,"San Antonio, TX",TV
KSAT-TV,22628.25,90513,"San Antonio, TX",TV
KSAW (ABC),4000,4000,"Twin Falls, ID",TV
KSDK Online,173751.75,695007,"St. Louis, Mo",Online
KSDK-STL (NBC),3691,3691,"St. Louis, MO",TV
KSFO,1000,4000,"San Franscisco, CA",Online
KSHB,46657.5,186630,"Kansas City, MO",Online
KSHB-TV Online,36117.25,144469,"Kansas City, MO",Online
KSNB,4000,4000,"Lincoln, NE",TV
KSON Radio.com,1000,4000,National,Online
KSPR (ABC),26067,26067,"Springfield, MO",TV
KSSN iHeart,1000,4000,National,Online
KTBC-TV,29860,29860,"Austin, TX",TV
KTEN,9755,39020,"Ada, OK",Online
KTEN (NBC),1173.75,4695,"Sherman, TX",TV
KTIV (NBC),7550,7550,"Sioux City, IA",TV
KTLO,4401.5,17606,"Mountain Home, AR",Online
KTLO 97.9,1000,4000,"Mountain Home, AR",Online
KTMX,1000,4000,"York, NE",Online
KTNV Online,76397,305588,"Las Vegas, NV",Online
KTRS-AM (Radio) ,54600,54600,"St. Louis, MO",Radio
KTUL (ABC),23818,23818,"Tulsa, OK",TV
KTVE (NBC),749,749,"Monroe, LA",TV
KTVI-STL (FOX),35931,35931,"St. Louis, MO",TV
KTVK-PHX,55238,55238,"Phoenix, AZ",TV
KTVO (ABC),1605,1605,"Ottumwa, IA",TV
KTVZ,41036.25,164145,"Bend, OR",Online
KTVZ Online,41036.25,164145,"Bend, OR",Online
KTXL-TV,12467,12467,"Sacremento, CA",TV
KUSI_TV,11919,11919,"San Diego, CA",TV
KUSI-SD,16040,16040,"San Diego, CA",TV
KVIA,30514.5,122058,"El Paso, TX",Online
KVOX-FM,1000,4000,"Fargo, ND",Online
